Time,Membrane Potential,IKr
0.0,-90.0913430059406,-1.38311717595735e-07
0.047719709619643357,-90.09134610522456,-1.3829242738724736e-07
0.12950419004128724,-90.09135141513534,-1.382594053405292e-07
0.3068248185133006,-90.0913629194942,-1.3818798995951382e-07
0.48414544698531403,-90.09137441557112,-1.3811675290875178e-07
1.0313541347611395,-90.09140983978367,-1.3789804345583465e-07
1.5785628225369648,-90.09144519405183,-1.3768081930427094e-07
2.12577151031279,-90.0914804726579,-1.3746520179641935e-07
3.019958854702586,-90.09153795348196,-1.3711640040564259e-07
4.540231393830311,-90.09163520365117,-1.3653334496228943e-07
7.341830030549081,-90.09181285538898,-1.354909070395717e-07
12.174753713662966,-90.09211461347095,-1.337858975849692e-07
17.007677396776852,-90.09241050022199,-1.3219383807743138e-07
20.0,-90.09259081106109,-1.3126128495996989e-07
20.000034488178517,-90.08983177650693,-1.2939360478018073e-07
20.000068976357035,-90.08707275960887,-1.2752593761385238e-07
20.000159099699502,-90.07986307022937,-1.2264547227803445e-07
20.00024922304197,-90.072653487884,-1.1776508661283266e-07
20.000339346384436,-90.06544402140337,-1.1288478659330637e-07
20.000429469726903,-90.0582346736598,-1.0800457415374e-07
20.000625721245832,-90.04253609854051,-9.737778722823114e-08
20.001081559438195,-90.00607482376923,-7.269630234902194e-08
20.001537397630557,-89.96961659985055,-4.801706412412718e-08
20.00199323582292,-89.93316141461621,-2.3340062534687946e-08
20.00244907401528,-89.89670925485262,1.3347131571441046e-09
20.003059050579786,-89.8479357730564,3.434962088444457e-08
20.00366902714429,-89.79916765441166,6.736058722830706e-08
20.004279003708795,-89.75040486514578,1.0036763944112743e-07
20.005205274775488,-89.67636695448253,1.5048259602310148e-07
20.00613154584218,-89.60234114024833,2.0058868325826822e-07
20.007057816908873,-89.5283273084113,2.506859942129851e-07
20.00851838560049,-89.41164441220322,3.2966315240704857e-07
20.009978954292105,-89.29499058528104,4.086190833125837e-07
20.01143952298372,-89.17836538761605,4.875541501753636e-07
20.012900091675338,-89.06176838146604,5.664687160227648e-07
20.015711762624445,-88.83739082952481,7.183269904002234e-07
20.018523433573552,-88.61311305566952,8.701132231408985e-07
20.02133510452266,-88.38893200840162,1.0218299998296514e-06
20.024146775471767,-88.1648446682301,1.1734799049681477e-06
20.026958446420874,-87.94084804841162,1.3250655223056714e-06
20.02977011736998,-87.71693919570735,1.4765894351908703e-06
20.03258178831909,-87.49311519114842,1.6280542269468953e-06
20.035393459268196,-87.26937315082075,1.7794624812641593e-06
20.038205130217303,-87.0457102266573,1.930816782621979e-06
20.04101680116641,-86.82212360721883,2.0821197167537775e-06
20.043828472115518,-86.59861051845223,2.233373871164135e-06
20.046640143064625,-86.3751682244228,2.384581835701077e-06
20.049451814013732,-86.15179402801577,2.5357462031876167e-06
20.05379738229403,-85.80668660499566,2.769298043540823e-06
20.058142950574325,-85.46172588835245,3.002761554244488e-06
20.06248851885462,-85.11690248908687,3.236146376331222e-06
20.066834087134918,-84.7722072567472,3.4694621922120992e-06
20.071179655415214,-84.42763128354191,3.702718735216336e-06
20.07552522369551,-84.08316590718219,3.935925800544764e-06
20.079870791975807,-83.73880271322548,4.1690932572534924e-06
20.08657888542688,-83.20740371181337,4.528970615982151e-06
20.093286978877956,-82.67619996090752,4.888814456730545e-06
20.09999507232903,-82.14516404279343,5.248662605438069e-06
20.106703165780104,-81.6142699741854,5.60855375692888e-06
20.113411259231178,-81.08349319743071,5.9685276499488035e-06
20.11342749453034,-81.08220870534653,5.969399011967806e-06
20.120119352682252,-80.55281056634185,6.328625260165063e-06
20.126827446133326,-80.02220032662838,6.688889012491189e-06
20.1335355395844,-79.49164209013865,7.049363014819637e-06
20.140243633035475,-78.96111680345577,7.410093314221782e-06
20.14695172648655,-78.43060671247257,7.771128175908964e-06
20.153659819937623,-77.9000953237641,8.132518385984152e-06
20.160367913388697,-77.36956736224539,8.494317580158428e-06
20.16707600683977,-76.8390087249731,8.856582600506652e-06
20.173784100290845,-76.30840643253394,9.219373881356492e-06
20.18049219374192,-75.77774857956919,9.582755865463501e-06
20.187200287192994,-75.24702428405294,9.946797453127242e-06
20.197914799673146,-74.39916196254751,1.0529817290393322e-05
20.2086293121533,-73.55106950517988,1.1115040867948665e-05
20.21934382463345,-72.70271666735574,1.1702840578780505e-05
20.230058337113604,-71.85407801891894,1.2293637249929697e-05
20.240772849593757,-71.00513236411565,1.2887907808817824e-05
20.25148736207391,-70.1558621672983,1.3486193902253518e-05
20.262201874554062,-69.30625298089892,1.4089111599370277e-05
20.272916387034215,-68.45629286956552,1.4697362344229142e-05
20.283630899514367,-67.6059718277211,1.531174532517497e-05
20.29434541199452,-66.75528118787147,1.5933171433181264e-05
20.305059924474673,-65.9042130116779,1.6562679009177076e-05
20.315774436954825,-65.05275945045578,1.7201451618192753e-05
20.326488949434978,-64.20091205958731,1.7850838121190963e-05
20.33720346191513,-63.348661049579356,1.8512375345696078e-05
20.347917974395283,-62.49599445169179,1.91878136939454e-05
20.358632486875436,-61.64289716871829,1.9879146076112846e-05
20.36934699935559,-60.789349873992975,2.058864061340933e-05
20.38006151183574,-59.935327714140115,2.131887762038249e-05
20.390776024315894,-59.08079876141424,2.2072791451412526e-05
20.401490536796047,-58.22572214841796,2.2853717888828224e-05
20.4122050492762,-57.370045802084235,2.3665447863677233e-05
20.422919561756352,-56.513703675689385,2.4512288439688487e-05
20.433634074236505,-55.65661235664455,2.5399132164150658e-05
20.444348586716657,-54.798666902697335,2.6331536108057743e-05
20.45506309919681,-53.939735729551096,2.7315812197320496e-05
20.465777611676963,-53.079654339151325,2.835913079697007e-05
20.476492124157115,-52.218217642228176,2.946964001334299e-05
20.487206636637268,-51.35517057569525,3.065660358743234e-05
20.49792114911742,-50.49019669560593,3.1930561514610634e-05
20.5,-50.3221178216956,3.2188803962370395e-05
20.500159551835615,-50.32197797778641,3.219860441226562e-05
20.50031910367123,-50.32183761110396,3.220840550933525e-05
20.500755095279356,-50.32145143536538,3.223519124777849e-05
20.50119108688748,-50.32106176964165,3.226198137930803e-05
20.501627078495606,-50.32066831002027,3.228877625610048e-05
20.50206307010373,-50.320270944835265,3.231557601804638e-05
20.502952100538714,-50.31944835610062,3.237023887181359e-05
20.50460454007873,-50.31787499981187,3.2471896763004323e-05
20.506256979618747,-50.31624330953267,3.257362899922299e-05
20.508738833160738,-50.313681266805816,3.2726567659156346e-05
20.51122068670273,-50.310983270593105,3.287968407623153e-05
20.51370254024472,-50.30814637744363,3.3032984999789535e-05
20.51618439378671,-50.30516762898967,3.3186477335310984e-05
20.522750255794076,-50.296582844947096,3.359352177337522e-05
20.529316117801443,-50.286935219657,3.400208038826648e-05
20.53588197980881,-50.27617472205489,3.441228438781824e-05
20.542447841816177,-50.264252539971125,3.482426878121564e-05
20.549013703823544,-50.25112089600612,3.523817261592384e-05
20.55557956583091,-50.236733029814566,3.565413893540065e-05
20.573395587418204,-50.191009070896534,3.679440840331565e-05
20.58505396494414,-50.1554805109432,3.7550850722827556e-05
20.596712342470077,-50.11524064782913,3.831648605441395e-05
20.608370719996014,-50.07006913922506,3.909226469264056e-05
20.62002909752195,-50.019755008235514,3.987917581946531e-05
20.631687475047887,-49.964095345154334,4.067824815630485e-05
20.643345852573823,-49.90289471299314,4.149055254802094e-05
20.660889669381696,-49.799941485094564,4.274033875834675e-05
20.67843348618957,-49.68339472522733,4.402664437667144e-05
20.69597730299744,-49.552655230013336,4.5353761307528064e-05
20.713521119805314,-49.407133541759045,4.672629758069792e-05
20.731064936613187,-49.246238837960995,4.814922423169675e-05
20.74860875342106,-49.0693678061466,4.962793073232274e-05
20.766152570228932,-48.87589295938275,5.1168291586492604e-05
20.783696387036805,-48.66515012297511,5.2776746292953506e-05
20.801240203844678,-48.43642501837909,5.446039492026481e-05
20.81878402065255,-48.188938845821056,5.622711222609566e-05
20.836327837460423,-47.92183264474645,5.808568429459375e-05
20.853871654268296,-47.634150099378395,6.004597289617254e-05
20.87141547107617,-47.324818372911466,6.211911426455937e-05
20.88895928788404,-46.992626470387826,6.431776092594084e-05
20.900919603063826,-46.75235862093458,6.589592443419361e-05
20.91287991824361,-46.500347326975216,6.754423384227383e-05
20.924840233423396,-46.23606108044078,6.926837173047106e-05
20.93680054860318,-45.958917523847084,7.107462422831946e-05
20.948760863782965,-45.66827724070165,7.296996971062838e-05
20.96072117896275,-45.36343680677265,7.49621831091971e-05
20.972681494142535,-45.04362119766594,7.705995687661461e-05
20.98464180932232,-44.7079753088323,7.927304296556645e-05
20.996602124502104,-44.35555410492902,8.161242246824901e-05
21.00856243968189,-43.98531219131864,8.409050480146956e-05
21.020522754861673,-43.596090705997355,8.672137211789003e-05
21.032483070041458,-43.18660285952907,8.952107201910307e-05
21.044443385221243,-42.7554175576749,9.250797140902272e-05
21.056403700401027,-42.30094053793235,9.57031883603266e-05
21.068364015580812,-41.8213925987259,9.913112246008786e-05
21.07669770105785,-41.47138776715515,0.00010167204152816362
21.085031386534887,-41.1075109318471,0.0001043504919986895
21.093365072011924,-40.72895994753656,0.00010717866725455597
21.10169875748896,-40.33486578590485,0.00011017021627686206
21.110032442966,-39.92428583078895,0.00011334046847914977
21.118366128443036,-39.49619652602982,0.00011670670027269777
21.126699813920073,-39.049485570744594,0.00012028844588204403
21.13503349939711,-38.5829434306591,0.00012410786619759408
21.143367184874148,-38.095254092534354,0.00012819018866828497
21.151700870351185,-37.58498499087692,0.0001325642355083158
21.160034555828222,-37.05057610710678,0.000137263060403718
21.16836824130526,-36.490328281059845,0.00014232471867141444
21.176701926782297,-35.90239080524775,0.00014779320256924777
21.185035612259334,-35.28474842179839,0.00015371958211113747
21.19336929773637,-34.63520792166165,0.00016016340265747936
21.20170298321341,-33.95138465754465,0.00016719440448427345
21.210036668690446,-33.23068942956597,0.00017489464747841266
21.218370354167483,-32.47031639367928,0.00018336114722964332
21.22670403964452,-31.667232887901285,0.00019270915847567114
21.235037725121558,-30.81817238051842,0.0002030762797288326
21.243371410598595,-29.91963262763875,0.00021462759990229153
21.251705096075632,-28.967879201788318,0.00022756216728937138
21.26003878155267,-27.958958476826314,0.00024212114741821322
21.265247534263395,-27.297490149490528,0.0002521730581289286
21.27045628697412,-26.611028189916663,0.000263056675393929
21.275665039684846,-25.89851153117846,0.0002748675978992221
21.28087379239557,-25.15886823966898,0.00028771433433942
21.286082545106296,-24.391024090670495,0.0003017202824235152
21.291291297817022,-23.593913355310722,0.0003170259598200277
21.296500050527747,-22.76649115678928,0.0003337914482628669
21.301708803238473,-21.907747882859343,0.0003521990542400652
21.30523554773816,-21.308037587541122,0.0003656986002726417
21.308762292237848,-20.693247912772133,0.00038011694537787934
21.312289036737535,-20.06311784349536,0.0003955320757935382
21.315815781237223,-19.41740737630592,0.0004120287119866839
21.31934252573691,-18.75590124335933,0.0004296987353351265
21.3228692702366,-18.078412925730692,0.00044864158369408596
21.326396014736286,-17.384788780089167,0.0004689645654614756
21.329922759235973,-16.67491227721596,0.0004907830872224943
21.33344950373566,-15.948708501898682,0.0005142207479039522
21.33697624823535,-15.206148846201517,0.0005394092992045918
21.340502992735036,-14.447255874142169,0.0005664884365026086
21.344029737234724,-13.67210831275692,0.0005956053860209459
21.34755648173441,-12.880846122215308,0.0006269142617786156
21.3510832262341,-12.073675594606025,0.0006605751739116134
21.354609970733787,-11.250874423858749,0.0006967530780262218
21.358136715233474,-10.412796680325824,0.0007356163645869356
21.361663459733162,-9.559877615036365,0.0007773351982682063
21.36519020423285,-8.692638210830728,0.0008220796288987294
21.368716948732537,-7.8116893897808115,0.0008700175068911142
21.37112645695607,-7.202291324718861,0.0009046897700113774
21.373535965179602,-6.587071380760834,0.0009409795164407398
21.375945473403135,-5.966301860623072,0.0009789352669782817
21.378354981626668,-5.340276802546346,0.0010186033866102656
21.3807644898502,-4.709312257196464,0.0010600277175529338
21.383173998073733,-4.073746488113577,0.0011032492162499944
21.385583506297266,-3.4339400264547657,0.0011483056145981801
21.3879930145208,-2.79027557740245,0.0011952311049625015
21.39040252274433,-2.1431577910710655,0.001244056045294761
21.392812030967864,-1.4930128988898383,0.001294806685523315
21.395221539191397,-0.8402882048628304,0.0013475049199214253
21.39763104741493,-0.18545140433231852,0.0014021680713679075
21.399310810309174,0.2720520575955928,0.0014414451787518152
21.40099057320342,0.7301750459841696,0.0014816863088511602
21.402670336097664,1.1887429011727455,0.001522893136831056
21.40533274039533,1.9160402312990472,0.0015901845523111986
21.407995144692997,2.643274897902943,0.0016598986083392541
21.410657548990663,3.3696952936104023,0.0017320235300801025
21.41331995328833,4.094531643642245,0.0018065400466917311
21.415982357585996,4.816999332725869,0.0018834215511438523
21.418644761883662,5.5363022770206465,0.0019626343601529157
21.42130716618133,6.251636536882524,0.0020441380612877314
21.423969570478995,6.962194289436372,0.00212788594029711
21.42663197477666,7.66716806705895,0.0022138254888013843
21.429294379074328,8.365755121021516,0.0023018989898193135
21.431956783371994,9.05716185348887,0.002392044171362639
21.43461918766966,9.7406083150096,0.0024841949142729186
21.437281591967327,10.415332740781324,0.002578282000374361
21.441524708649286,11.470804978983606,0.0027320544884408206
21.445767825331245,12.499412369855728,0.0028902665318587374
21.448271620398337,13.092700207678519,0.0029855866298831414
21.44976717391133,13.441971532072607,0.0030431854394628436
21.45079650005327,13.680074361856791,0.003083107899608369
21.451825826195208,13.916276947771424,0.0031232536312348156
21.452855152337147,14.15054872074798,0.00316361857437516
21.45349442693441,14.295060867078359,0.0031887962606337913
21.45413370153167,14.438809993379175,0.003214056003849099
21.454772976128933,14.58178939631129,0.0032393968631474397
21.455412250726194,14.723992536174775,0.0032648179066869943
21.456051525323456,14.865413038443263,0.0032903182120705924
21.456690799920718,15.006044695276227,0.0033158968667082673
21.45733007451798,15.14588146716682,0.0033415529681351894
21.457969349115242,15.284917484557335,0.0033672856243174673
21.458608623712504,15.423147049275299,0.0033930939539567385
21.459724467582568,15.662475832038485,0.0034383207162770415
21.460922698822763,15.916688719992976,0.003487135347499656
21.46212093006296,16.16798394114965,0.003536202059061236
21.463319161303154,16.41633096996281,0.003585515511947118
21.46451739254335,16.66170148956906,0.0036350705208466868
21.465715623783545,16.90406940478377,0.003684862057525627
21.46691385502374,17.14341085027668,0.0037348852533695353
21.468112086263936,17.37970419468021,0.0037851354012694194
21.470869287502115,17.91175093879436,0.0039016014949689393
21.473626488740294,18.42736824826617,0.004019193470857002
21.476383689978473,18.926426253776228,0.004137863756738541
21.47914089121665,19.40885562278259,0.004257569196554075
21.48189809245483,19.874645799350493,0.004378270876581253
21.48465529369301,20.32384273961022,0.0044999338604099085
21.48741249493119,20.756546189531733,0.004622526874055302
21.490169696169367,21.172906583760085,0.004746021963504215
21.492926897407546,21.57312164368059,0.00487039413365838
21.495684098645725,21.957432737875546,0.004995620975864377
21.498441299883904,22.326121060666477,0.005121682293571812
21.501198501122083,22.67950368661912,0.005248559736367773
21.503955702360262,23.017929561831096,0.005376236451066903
21.50826173529545,23.517445240731703,0.005577196359789891
21.51134945398268,23.85460256729676,0.005722443717397337
21.514437172669915,24.174878402321855,0.005868625469785437
21.517524891357148,24.478899028744532,0.006015722474017238
21.52061261004438,24.767306659784957,0.006163715638587289
21.523700328731614,25.040754530916523,0.006312585619689965
21.526788047418847,25.299901145499266,0.006462312680165405
21.52987576610608,25.54540494835694,0.006612876612912281
21.532963484793314,25.777920135324393,0.006764256661053228
21.536051203480547,25.99809325283667,0.0069164314529475196
21.53913892216778,26.206560076181205,0.007069378989619273
21.543923177825995,26.50789589300086,0.007307836339832845
21.54870743348421,26.784852195192105,0.0075480080381243085
21.553491689142426,27.039555335116646,0.007789805332972226
21.55827594480064,27.274011552761852,0.00803313794317448
21.563060200458857,27.49010067348611,0.00827791485925314
21.567844456117072,27.689572733346726,0.008524045216276917
21.572628711775288,27.87404718212785,0.008771439165943345
21.577412967433503,28.045014719773743,0.009020008643645171
21.58219722309172,28.203841312873138,0.00926966799666293
21.586981478749934,28.351773600328432,0.009520334499379331
21.59176573440815,28.489945095135493,0.009771928778099072
21.596549990066364,28.619382922871168,0.010024375141332769
21.60133424572458,28.741014949811237,0.010277601807049246
21.606118501382795,28.855677095179253,0.010531541034644794
21.61090275704101,28.964120596404054,0.010786129180846973
21.618652130059548,29.12827545654404,0.011199728356951724
21.626401503078085,29.280335548371617,0.011614644685462675
21.634150876096623,29.422362274381054,0.012030673868830135
21.64190024911516,29.5560627546392,0.012447636324567312
21.649649622133698,29.682845271737037,0.012865375330258357
21.657398995152235,29.8038676854812,0.013283754898210844
21.665148368170772,29.920079369935955,0.013702657525653012
21.67289774118931,30.032256985702265,0.014121982038214837
21.680647114207847,30.141034569246862,0.014541641623554646
21.688396487226385,30.24692870315926,0.014961562033220493
21.696145860244922,30.350359546823007,0.015381679924615482
21.70389523326346,30.45166835218778,0.01580194135585571
21.711644606281997,30.551131966022997,0.016222300454809508
21.719393979300534,30.648974773589075,0.016642718259434412
21.72714335231907,30.745378506249473,0.017063161708132782
21.73489272533761,30.840490280798658,0.017483602760483802
21.742642098356146,30.934429175624864,0.01790401763660985
21.750391471374684,31.027291597008166,0.018324386165217584
21.75814084439322,31.119155648325833,0.018744691227737358
21.76589021741176,31.21008468005435,0.019164918285119417
21.773639590430296,31.300130168276283,0.019585054975789894
21.781388963448833,31.389334044681462,0.020005090775389475
21.78913833646737,31.477730580302957,0.02042501670986151
21.796887709485908,31.565347906681694,0.020844825114017574
21.808600795113946,31.696351763435768,0.021479123223773145
21.820313880741985,31.825691305018125,0.022113119404546938
21.832026966370023,31.953416109558713,0.022746798652779898
21.84374005199806,32.07956534346252,0.02338014895778171
21.8554531376261,32.204170455796174,0.024013160805888136
21.867166223254138,32.32725746027909,0.02464582667972401
21.878879308882176,32.44884880867404,0.025278140584425804
21.890592394510215,32.56896458593887,0.025910097731902514
21.902305480138253,32.687623151498464,0.026541694375812965
21.91401856576629,32.80484154515917,0.027172927701848502
21.932434432789528,32.98626421112326,0.028164643326874784
21.950850299812764,33.164226223295586,0.029155451616476084
21.969266166836,33.33878534415227,0.030145351519639468
21.987682033859237,33.509998049006015,0.03113434496875351
22.006097900882473,33.67791978106389,0.03212243660559599
22.02451376790571,33.84260525316056,0.033109633464034664
22.06076946016616,34.15757694915575,0.0350505701365966
22.09702515242661,34.46062460035798,0.036988165093811
22.13328084468706,34.75215122010733,0.038922530020400005
22.16953653694751,35.03255233511265,0.040853794655973545
22.20579222920796,35.30221425813516,0.04278210351754949
22.242047921468412,35.56151459171456,0.04470761181343086
22.278303613728863,35.81082240166855,0.046630481903142215
22.314559305989313,36.05049765938891,0.04855088070886325
22.350814998249763,36.28089027121322,0.05046897794939651
22.387070690510214,36.50233990477084,0.05238494422406117
22.423326382770664,36.7151761973227,0.054298949100557194
22.459582075031115,36.91971893324939,0.05621115949745491
22.495837767291565,37.116277843090934,0.058121738684751165
22.532093459552016,37.3051525111568,0.060030845473331144
22.568349151812466,37.48663245637377,0.06193863346922926
22.604604844072917,37.66099743303539,0.06384525028741549
22.640860536333367,37.828517586482135,0.06575083706925781
22.677116228593817,37.98945360544726,0.06765552815805173
22.713371920854268,38.14405680099955,0.06955945099496334
22.74962761311472,38.292569385324605,0.0714627258982639
22.78588330537517,38.435224675594384,0.0733654660172245
22.82213899763562,38.57224742082285,0.07526777720857242
22.884484556924505,38.795324806181945,0.0785382855339472
22.92219372500648,38.922918954778694,0.08051614225796613
22.959902893088454,39.04525456120212,0.08249389764018318
22.99761206117043,39.1625416632846,0.08447163394781207
23.035321229252403,39.274981787969324,0.08644942610447051
23.073030397334378,39.38276830852186,0.08842734187992114
23.110739565416353,39.486086649107094,0.09040544233301957
23.148448733498327,39.58511464972797,0.09238378200401821
23.1861579015803,39.680022689154654,0.09436240950312143
23.223867069662276,39.77097417197345,0.09634136747660703
23.26157623774425,39.858125501465196,0.09832069345277639
23.299285405826225,39.94162680011361,0.10030041934365819
23.3369945739082,40.02162148730122,0.10228057300926008
23.374703741990174,40.09824754434079,0.10426117665492741
23.41241291007215,40.17163620746708,0.10624225011457086
23.450122078154124,40.24191459417683,0.10822380643101524
23.487831246236098,40.30920225055789,0.11020585954042117
23.525540414318073,40.373617134078,0.11218841268896754
23.563249582400047,40.435266777181525,0.1141714776833983
23.60095875048202,40.49426283010969,0.11615504440927912
23.638667918563996,40.55070765599456,0.11813911014423091
23.67637708664597,40.604692782467865,0.12012368469486467
23.714086254727945,40.65630904744722,0.12210876839370442
23.75179542280992,40.705644042756944,0.12409435814703876
23.789504590891895,40.75279405227509,0.12608041895258734
23.82721375897387,40.797844832036176,0.12806692980785678
23.864922927055844,40.84086773453136,0.13005389530594605
23.902632095137818,40.88193356475796,0.13204131257836269
23.940341263219793,40.92111064911925,0.13402917623886815
23.978050431301767,40.95848288951768,0.13601743114102482
24.0047263461814,40.98387119303517,0.13742416058793852
24.031402261061032,41.00840846814388,0.13883107964022146
